datos/index,datos/nombre,datos/apellido,datos/edad,datos/gender,datos/email,datos/phone,datos/address,datos/about,datos/matriculado,datos/cursos/0/id,datos/cursos/0/curso,datos/cursos/0/nota,datos/cursos/1/id,datos/cursos/1/curso,datos/cursos/1/nota,datos/cursos/2/id,datos/cursos/2/curso,datos/cursos/2/nota,datos/cursos/3/id,datos/cursos/3/curso,datos/cursos/3/nota
0,Bernard,Callahan,39,male,bernardcallahan@pathways.com,+1 (842) 448-2601,"505 Canda Avenue, Thomasville, Virgin Islands, 7940","Et voluptate voluptate sunt excepteur incididunt in anim est irure ex qui. Incididunt do ad nisi ea deserunt pariatur duis adipisicing nisi nostrud sint quis laboris. Aute culpa do excepteur amet. Veniam sit sit reprehenderit est. Sunt est incididunt nulla id fugiat reprehenderit consequat.
",2018-07-01T06:32:53 +05:00,0,Algebra lineal,2.1113,1,Calculo diferencial,4.5622,2,POO,4.5248,3,CTD,3.6583
1,Iva,Alvarez,26,female,ivaalvarez@pathways.com,+1 (804) 545-3830,"470 Amboy Street, Rosedale, New Hampshire, 2229","Amet commodo dolor et deserunt consequat quis enim sunt tempor. In est esse sint irure laboris ipsum sint consectetur qui exercitation adipisicing cupidatat. Irure id sit ipsum eiusmod consequat culpa in adipisicing labore occaecat magna. Duis nulla exercitation eiusmod nisi. Veniam occaecat proident Lorem exercitation ad nostrud fugiat qui aute nulla culpa elit id tempor. Sunt occaecat ad amet consequat duis officia voluptate duis ex non. Exercitation duis quis ut veniam nisi nisi.
",2015-03-26T11:31:36 +05:00,0,Algebra lineal,3.5387,1,Calculo diferencial,4.5187,2,POO,3.084,3,CTD,1.6698
2,Gena,Cherry,40,female,genacherry@pathways.com,+1 (884) 482-3783,"688 Osborn Street, Germanton, Maine, 1222","Minim consectetur pariatur velit esse nostrud amet dolor quis sit culpa labore ea. Lorem Lorem labore veniam adipisicing. Elit ut nisi exercitation do velit nulla veniam reprehenderit.
",2016-04-12T08:26:11 +05:00,0,Algebra lineal,3.5281,1,Calculo diferencial,1.3085,2,POO,2.7847,3,CTD,0.8966
3,Amparo,Briggs,21,female,amparobriggs@pathways.com,+1 (934) 411-2755,"760 Otsego Street, Hondah, Missouri, 5812","Ipsum laboris ullamco nisi duis culpa sit eiusmod Lorem aliquip ullamco. Ea enim excepteur mollit anim duis qui ullamco magna. Consequat in ullamco tempor qui mollit. Ea culpa voluptate sint duis minim incididunt sit sint aliqua sint nulla qui. Laborum nulla exercitation nostrud laborum officia magna magna non tempor commodo. Aliqua laborum velit occaecat nisi aliquip amet velit culpa. Magna non officia dolore adipisicing.
",2020-12-28T05:33:18 +05:00,0,Algebra lineal,0.5793,1,Calculo diferencial,4.6147,2,POO,2.6636,3,CTD,4.8683
4,Wolfe,Ruiz,24,male,wolferuiz@pathways.com,+1 (998) 558-3093,"839 Crosby Avenue, Kenvil, Puerto Rico, 3446","Est do fugiat est adipisicing magna tempor qui nulla non. Est velit laboris incididunt occaecat proident sint elit. Aliquip ut culpa veniam aute dolor exercitation eiusmod anim eiusmod. Aliqua cillum tempor laborum ea aute minim exercitation pariatur cupidatat labore reprehenderit Lorem.
",2015-05-20T04:37:40 +05:00,0,Algebra lineal,1.5294,1,Calculo diferencial,1.9941,2,POO,1.3805,3,CTD,3.4913
5,Ines,Herrera,40,female,inesherrera@pathways.com,+1 (983) 484-2739,"599 Bushwick Place, Boyd, Massachusetts, 2970","Proident culpa reprehenderit aliquip commodo do adipisicing dolore cupidatat dolore incididunt non eiusmod aliqua. Et ullamco eiusmod duis laboris ut. Quis velit quis officia consectetur cillum minim duis occaecat est. Ex culpa enim laboris ex exercitation velit voluptate ullamco sunt duis. Ex anim sint deserunt qui est. Duis tempor deserunt nostrud pariatur ullamco.
",2014-05-29T09:11:57 +05:00,0,Algebra lineal,2.8444,1,Calculo diferencial,3.3944,2,POO,2.3305,3,CTD,2.3766
6,Mildred,Dickson,40,female,mildreddickson@pathways.com,+1 (884) 454-2467,"530 Irvington Place, Sedley, District Of Columbia, 3439","Ut velit anim officia eiusmod laboris ipsum eiusmod cupidatat exercitation. Ipsum consectetur tempor est veniam ipsum exercitation ut. Cupidatat cupidatat aliqua laborum anim veniam irure nisi sit ad cupidatat quis in aute.
",2015-05-31T08:03:45 +05:00,0,Algebra lineal,1.4073,1,Calculo diferencial,1.7807,2,POO,2.4754,3,CTD,0.9208
7,Hancock,Workman,31,male,hancockworkman@pathways.com,+1 (946) 425-2558,"465 Overbaugh Place, Lithium, Idaho, 8823","Officia cupidatat occaecat aliquip sit occaecat aute consequat sit do deserunt. Occaecat in nulla duis dolor non sint consectetur esse nisi. Officia elit excepteur duis dolore commodo dolor dolore est tempor consequat ut esse.
",2022-08-20T03:32:54 +05:00,0,Algebra lineal,0.5953,1,Calculo diferencial,2.0774,2,POO,1.7034,3,CTD,1.1026
8,Allie,Greer,21,female,alliegreer@pathways.com,+1 (992) 523-3952,"253 Sands Street, Fruitdale, Kansas, 2814","Officia eu excepteur occaecat sit excepteur anim. Cillum voluptate enim consectetur cillum laboris reprehenderit pariatur eiusmod culpa. Ea est cupidatat duis tempor mollit. Elit ipsum dolore cupidatat eu anim incididunt officia ipsum pariatur do duis Lorem duis. Irure Lorem tempor dolor labore occaecat ullamco ex sunt commodo nostrud tempor ipsum nulla id.
",2018-07-22T11:27:44 +05:00,0,Algebra lineal,2.2626,1,Calculo diferencial,4.0068,2,POO,4.4413,3,CTD,4.6727
9,Flynn,Abbott,24,male,flynnabbott@pathways.com,+1 (956) 453-3968,"229 Mill Road, Wanship, Oklahoma, 7966","Reprehenderit dolor non quis dolor ut sunt non dolore. Anim dolore voluptate occaecat quis officia eiusmod. Magna commodo et mollit proident ex in reprehenderit incididunt culpa labore dolor. Id ex pariatur ullamco cillum do nostrud nulla consectetur Lorem.
",2017-02-01T01:38:21 +05:00,0,Algebra lineal,2.8237,1,Calculo diferencial,3.5458,2,POO,3.2209,3,CTD,4.8088
